Nome,Nome_Completo,URL,Descricao,Estrelas,Forks,Linguagem,Criado_Em,Atualizado_Em,Proprietario
FreeDomain,DigitalPlatDev/FreeDomain,https://github.com/DigitalPlatDev/FreeDomain,DigitalPlat FreeDomain: Free Domain For Everyone,109499,2057,HTML,2024-05-30T13:23:00Z,2025-10-23T20:38:57Z,DigitalPlatDev
DeepSeek-V3,deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,Sem descrição,99892,16296,Python,2024-12-26T09:52:40Z,2025-10-23T20:44:57Z,deepseek-ai
system-prompts-and-models-of-ai-tools,x1xhlol/system-prompts-and-models-of-ai-tools,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,"FULL Augment Code, Claude Code, Cluely, CodeBuddy, Comet, Cursor, Devin AI, Junie, Kiro, Leap.new, Lovable, Manus Agent Tools, NotionAI, Orchids.app, Perplexity, Poke, Qoder, Replit, Same.dev, Trae, Traycer AI, VSCode Agent, Warp.dev, Windsurf, Xcode, Z.ai Code, dia & v0. (And other Open Sourced) System Prompts, Internal Tools & AI Models",92871,25132,Não especificada,2025-03-05T16:38:29Z,2025-10-23T20:51:13Z,x1xhlol
DeepSeek-R1,deepseek-ai/DeepSeek-R1,https://github.com/deepseek-ai/DeepSeek-R1,Sem descrição,91359,11766,Não especificada,2025-01-20T11:57:28Z,2025-10-23T19:42:19Z,deepseek-ai
markitdown,microsoft/markitdown,https://github.com/microsoft/markitdown,Python tool for converting files and office documents to Markdown.,82029,4591,Python,2024-11-13T19:56:40Z,2025-10-23T20:57:31Z,microsoft
gemini-cli,google-gemini/gemini-cli,https://github.com/google-gemini/gemini-cli,An open-source AI agent that brings the power of Gemini directly into your terminal.,80204,8821,TypeScript,2025-04-17T17:04:31Z,2025-10-23T20:57:28Z,google-gemini
awesome-mcp-servers,punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,A collection of MCP servers.,73478,6132,Não especificada,2024-11-30T04:49:10Z,2025-10-23T20:53:24Z,punkpeye
awesome-llm-apps,Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models.",72668,9425,Python,2024-04-29T05:30:25Z,2025-10-23T19:54:06Z,Shubhamsaboo
browser-use,browser-use/browser-use,https://github.com/browser-use/browser-use,🌐 Make websites accessible for AI agents. Automate tasks online with ease.,71682,8488,Python,2024-10-31T16:00:56Z,2025-10-23T20:19:06Z,browser-use
servers,modelcontextprotocol/servers,https://github.com/modelcontextprotocol/servers,Model Context Protocol Servers,71104,8491,TypeScript,2024-11-19T01:10:17Z,2025-10-23T20:50:22Z,modelcontextprotocol
